timestamp_ms,ax,ay,az,gx,gy,gz,temp,pitch,roll
9741,-0.9053,-0.0764,-0.1621,-2.0000,1.3053,-2.7786,49.00,78.80,-154.76
10241,-0.9568,-0.0667,-0.1777,-3.1374,1.9084,0.6260,48.72,78.78,-159.44
10741,-0.9546,-0.0911,-0.1580,-2.7863,1.3130,-0.1603,49.00,79.19,-150.04
11241,-0.9602,-0.0947,-0.1589,-2.1985,0.4427,-2.8779,48.86,79.09,-149.20
11741,-0.9417,-0.0691,-0.1670,-2.5573,1.6489,0.1527,48.81,79.14,-157.52
12241,-0.9448,-0.0835,-0.1704,-2.4275,1.2748,-0.4962,49.14,78.64,-153.90
12741,-0.9260,-0.0654,-0.1792,-1.4656,0.4427,-5.1069,49.05,78.36,-159.94
13241,-0.9492,-0.0793,-0.1638,-2.8702,1.5496,0.0000,48.95,79.14,-154.16
13741,-0.9609,-0.0725,-0.1792,-2.8855,0.7176,0.3282,49.00,78.63,-157.97
14241,-0.9504,-0.0791,-0.1560,-2.2901,0.9313,-0.3588,48.86,79.57,-153.11
14741,-0.9329,-0.0635,-0.1794,-2.9771,1.9084,-1.7023,49.05,78.47,-160.52
15241,-0.9634,-0.0852,-0.1648,-2.3893,-0.3588,-0.9008,49.14,79.10,-152.66
15741,-0.9624,-0.0649,-0.1521,-3.0305,1.3435,-2.5725,48.86,80.25,-156.88
16241,-0.9495,-0.1218,-0.0933,-2.3206,-1.3053,-3.8855,49.05,80.82,-127.44
16741,-0.9294,-0.0496,-0.1880,-3.3817,1.5496,-0.5267,48.81,78.19,-165.23
17241,-0.9497,-0.0732,-0.1628,-2.1832,0.6489,-2.5191,48.72,79.35,-155.78
17741,-0.9443,-0.0769,-0.1699,-2.3740,0.6412,-1.2595,48.72,78.83,-155.65
18241,-0.9639,-0.0735,-0.1914,-2.1985,-0.0229,-1.1450,49.19,77.99,-159.00
18741,-0.9517,-0.0754,-0.1558,-2.5038,1.4885,0.1527,48.95,79.69,-154.16
19241,-0.9534,-0.0840,-0.1819,-2.4580,1.4962,1.6641,48.81,78.13,-155.22
19741,-0.9417,-0.0696,-0.1624,-2.5191,1.3817,-3.0305,49.14,79.38,-156.80
20241,-0.9631,-0.0447,-0.1548,-2.3130,0.8626,-0.4275,48.86,80.50,-163.90
20741,-0.8967,-0.0908,-0.1687,1.2824,4.0687,-20.4733,49.00,77.94,-151.70
21241,-0.9175,-0.0771,-0.1790,-2.9237,0.6260,-0.1985,49.00,78.01,-156.68
21741,-0.9451,-0.0603,-0.1602,-2.3817,2.3206,-2.8779,48.86,79.74,-159.37
22241,-0.9575,-0.0540,-0.1577,-2.2214,0.6412,1.0458,49.14,80.12,-161.11
22741,-0.9580,-0.0720,-0.1653,-2.9924,0.9084,0.5802,48.86,79.34,-156.46
23241,-0.9336,-0.0706,-0.1714,-1.9084,1.6489,-3.3588,49.00,78.77,-157.62
23741,-0.9536,-0.0481,-0.1726,-2.4809,0.3740,-1.0534,48.95,79.36,-164.43
24241,-0.9509,-0.0693,-0.1731,-2.6641,1.7176,-0.8931,48.81,78.91,-158.17
24741,-0.9524,-0.0757,-0.1660,-2.1603,1.1603,-0.6870,49.14,79.16,-155.49
25241,-0.9497,-0.0598,-0.1619,-2.5191,0.9313,-1.0000,48.95,79.70,-159.72
25741,-0.9417,-0.0649,-0.1677,-2.5878,0.7557,-0.7405,49.05,79.19,-158.83
26241,-0.9478,-0.0596,-0.1655,-2.8397,1.6565,-1.5191,49.14,79.48,-160.21
26741,-0.9531,-0.0576,-0.1458,-2.6565,0.7252,-1.0076,49.14,80.66,-158.43
27241,-0.9385,-0.0601,-0.1721,-2.3435,1.5954,-0.7634,49.19,79.01,-160.76
27741,-0.9458,-0.0608,-0.1650,-2.1985,1.5344,-2.0534,48.95,79.47,-159.78
28241,-0.9158,-0.0759,-0.1733,-2.6336,1.6489,-2.3817,49.00,78.32,-156.35
28741,-0.9846,-0.0469,-0.1477,-2.6947,0.3206,1.2901,48.81,81.06,-162.39
29241,-0.9614,-0.0659,-0.1685,-2.5649,0.2672,0.6870,49.00,79.34,-158.63
29741,-0.9629,-0.0466,-0.1646,-2.0611,0.8779,-1.7099,49.24,79.93,-164.18
30241,-0.9751,-0.0762,-0.1428,-2.7939,0.4656,1.9160,48.95,80.57,-151.93
30741,-0.9766,-0.0818,-0.1697,-1.3817,1.5878,-4.1603,48.95,79.08,-154.27
31241,-0.8965,-0.0647,-0.1548,-2.7557,1.9924,1.0687,49.05,79.40,-157.32
31741,-0.9653,-0.0417,-0.1621,-3.8626,-0.0916,5.7863,49.14,80.16,-165.56
32241,-0.9148,-0.0850,-0.1670,-1.2290,2.6412,-10.1603,49.19,78.43,-153.03
32741,-0.9529,-0.0525,-0.1641,-3.2443,1.6336,-0.6565,48.86,79.75,-162.26
33241,-0.9475,-0.0730,-0.1631,-2.4885,0.8092,-1.2366,49.05,79.32,-155.89
33741,-0.9702,-0.0417,-0.1736,-3.2061,1.6336,-0.8092,49.00,79.57,-166.48
34241,-0.9492,-0.0684,-0.1582,-2.4504,1.4351,-1.5344,48.86,79.71,-156.63
34741,-0.9563,-0.0632,-0.1609,-2.2443,1.0153,-1.8702,49.14,79.75,-158.54
35241,-0.9263,-0.0452,-0.1323,-1.3893,3.2214,-3.2748,49.05,81.42,-161.15
35741,-0.9253,-0.0422,-0.1619,-2.1221,1.2672,0.1450,48.81,79.75,-165.38
36241,-0.9490,-0.0732,-0.1616,-1.7481,1.3130,-3.5191,49.00,79.41,-155.62
36741,-0.9565,-0.0652,-0.1719,-2.5649,2.2061,-3.4962,48.95,79.12,-159.23
37241,-0.8987,-0.1111,-0.1689,-4.2519,1.3588,2.4122,48.86,77.32,-146.67
37741,-0.9692,-0.0464,-0.1660,-1.7176,0.4962,-2.3511,48.86,79.92,-164.39
38241,-0.9917,-0.0471,-0.1458,-2.5267,0.8702,2.0611,48.95,81.22,-162.08
38741,-0.9253,-0.0845,-0.1812,-4.1985,1.7863,0.3893,48.95,77.81,-155.00
39241,-0.9802,-0.0620,-0.1772,-1.7863,0.7939,-5.8473,48.95,79.16,-160.72
39741,-0.9600,-0.0576,-0.1658,-2.5344,1.3893,1.1679,48.86,79.64,-160.83
40241,-0.9429,-0.0618,-0.0959,-1.2443,0.6260,3.6183,48.72,83.10,-147.23
40741,-0.9380,-0.0835,-0.1614,-2.2595,0.7405,-2.6947,49.14,79.04,-152.64
41241,-0.9458,-0.0425,-0.1765,-2.0076,1.4427,-2.9847,49.05,79.13,-166.47
41741,-0.9407,-0.0505,-0.1736,-3.1298,1.2901,-0.3359,49.05,79.12,-163.77
42241,-0.9561,-0.0654,-0.1284,-2.1527,1.4198,-3.2061,49.00,81.43,-153.00
42741,-0.9373,-0.0759,-0.1206,-2.0916,0.3511,1.2443,48.72,81.35,-147.81
43241,-0.9517,-0.0437,-0.1943,-1.5802,0.8015,-5.3511,48.95,78.18,-167.33
43741,-0.9658,-0.0593,-0.1565,-2.6336,1.1450,-0.4275,48.95,80.17,-159.24
44241,-0.9741,-0.0564,-0.1641,-2.8092,0.3969,2.0076,49.14,79.90,-161.03
44741,-0.9575,-0.0498,-0.1531,-3.0000,0.5267,1.9771,49.00,80.46,-161.98
45241,-0.9451,-0.0610,-0.1560,-1.5954,2.0076,-5.8855,49.19,79.95,-158.63
45741,-1.0154,-0.0420,-0.2073,-4.9237,-0.5344,5.4046,48.95,78.23,-168.55
46241,-0.9290,-0.0801,-0.1470,-1.5878,1.5496,-3.2519,48.95,79.79,-151.42
